symbol,macro_score,quant_score,whale_score,fundamental_score,sentiment_score,composite_score,consensus_variance,confidence,base_rr,timeframe_alignment_score,fatal_error
BTC/USDT,-0.3954,-0.36,0.0,0.0,-0.396,0.4849,0.396,0.4849,2.13,0.75,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
ETH/USDT,-0.3944,-0.36,0.0,0.0,-0.396,0.485,0.396,0.485,2.17,0.75,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
INJ/USDT,-0.3944,-0.7,0.0,0.0,-0.396,0.3674,0.7,0.3674,2.0,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
RNDR/USDT,-0.3924,0.1,0.0,0.0,-0.396,0.4926,0.496,0.4926,2.0,0.75,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
FET/USDT,-0.3976,-1.0,0.0,0.0,-0.396,0.3798,1.0,0.3798,2.0,1.0,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
NVDA,-0.3978,0.1,0.0,0.0,0.0,0.4628,0.4978,0.4628,4.32,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
TSLA,-0.3978,-0.4,0.0,0.0,0.0,0.4253,0.4,0.4253,5.57,0.75,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
MSTR,-0.3982,-0.3,0.0,0.0,0.0,0.4627,0.3982,0.4627,14.43,1.0,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
COIN,-0.3986,-0.36,0.0,0.0,0.0,0.4552,0.3986,0.4552,5.75,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
INTC,-0.3986,0.6,-0.36,0.0,0.0,0.4892,0.9985999999999999,0.4892,2.0,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
AMD,-0.3984,0.4,0.0,0.0,0.0,0.5002,0.7984,0.5002,2.0,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
AMAT,-0.3942,-0.04,0.0,0.0,0.0,0.3957,0.3942,0.3957,2.0,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
SPY,-0.3916,0.4,0.0,0.0,0.0,0.501,0.7916000000000001,0.501,2.0,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
ASTOR.IS,-0.3916,0.7,0.0,0.0,0.0,0.5636,1.0916,0.5636,2.77,0.75,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
EUPWR.IS,-0.3888,0.0,0.0,0.0,0.0,0.4514,0.3888,0.4514,2.65,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
THYAO.IS,-0.3888,0.6,0.36,0.0,0.0,0.5874,0.9887999999999999,0.5874,2.72,0.75,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
GARAN.IS,-0.389,0.3,0.36,0.0,0.0,0.5249,0.749,0.5249,3.25,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
EREGL.IS,-0.392,-0.04,0.0,0.0,0.0,0.396,0.392,0.396,2.56,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
GC=F,-0.392,-0.3,0.0,0.0,0.0,0.4135,0.392,0.4135,2.79,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
SI=F,-0.395,-0.3,0.0,0.0,0.0,0.4131,0.395,0.4131,4.56,0.5,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
CL=F,-0.395,-0.3,0.36,0.0,0.0,0.4741,0.755,0.4741,11.2,0.75,KOMPOZİT SKOR YETERSİZ — İŞLEM YAPILMADI
